дни;время;5а;5б;5в;6а;6б;6в;6г;7а;7б;7в;8а;8б;8в;9а;9б;9в;10а;10б;11а;11б
понедельник;8:15-8:55;Математика 44;Разговор о важ. 31;Однкнр 33;;Разговор о важ. 34;Разговор о важ. 25;Разговор о важ.22;Разговор о важ.45;Разговор о важ.23;Разговор о важ.8;Разговор о важ.28;Разговор о важ. 42;Обществозн.27;Русск.яз. 32;Разговор о важ.36;Разговор о важ. 19;;;;
понедельник;9:00-9:40;"Англ.яз.42,30";Русск.яз. 14;География 47;Математика 45;Русск.яз. 32;История 33;История 41;Русск.яз. 34;Биология 36;Геометрия 8;Физика 19;Алгебра 46;"Технология 18,22";Вс. история 27;Физкультура;"Англ.яз.31,23";;;Физ-ра;Инф-к 44
понедельник;9:55-10:35;"Родн.яз.24,29";Математика 15;История 27;Физ-ра (МЗ);Литература 32;Физ-ра(БЗ);Обществоз. 41;Литература 34;"Англ яз./инф-ка (П)44,30";Алгебра 8;География 47;Финанс.гр 22;Физика 19;Биология 36;"Англ.яз. 31,23";Физ-ра (ТЗ);;Вероятн. и ст. 46;Химия 25;Физика 26
понедельник;10:55-11:35;Физ-ра (МЗ);История 47;Математика 33;Русск.яз. 32;"Родн.яз. 24,29";Математика 45;География 40;Алгебра 8;"Технология 18,22";"Англ яз./инф-ка (П)44,30";Биология 36;Физ-ра (БЗ);Алгебра 46;"Англ.яз. 31,23";История России27;Физика 19;История 41;Русск.яз. 34;Физика 26;Химия 25
понедельник;11:55-12:35;История 41;однкнр 14;Физ-ра (БЗ);Литература 32;Математика 45;География 47;Математика 44;"Англ.яз.30,23";"Технология 18,22";Физика 19;Музыка 25;Обществозн.27;Физ-ра (ТЗ);"Родн.яз.24,29";Биология 36;Алгебра 46;Физика 26;Литература 34;Англ.яз.31;Обж 8
понедельник;12:50-13:30;"Технология 18,22";Моя Карелия 45;Биология 44;Изо 25;История 33;"Англ.яз.42,30";Русск.яз. 32;Геометрия 8;География 47;Русск.яз. 34;Физ-ра (ТЗ);Вс. история 27;;Алгебра 46;Физика 19;Химия 36;"Родн.яз.24,29";Физика 26;Обществозн. 41;Англ.яз.31
понедельник;13:40-14:20;"Технология 18, 22";Англ.яз.1 гр 30;Моя Карелия 45;Однкнр 33;;;Литература 32;;;Вс.история 41;;"Англ яз./инф-ка42,44";;Разговор о важ.24;Вс.история 27;Биология 36;Англ.яз. 31;ПОЗМ 46;География 47;Литература 34
понедельник;14:35-15:15;;;;;;;;;;;;;;;Обж 8;;История 41;Физ-ра (БЗ);;
понедельник;15:30-16:10;;;;;;;;;;;;;;;;;Разговор о важ. 41;;;
понедельник;16:15-16:55;;;;;;;;;;;;;;;;;;;;
вторник;8:15-8:55;Русск.яз.34;Англ.яз.1 гр 30;Русск.яз.33;Математика 45;Физ-ра (БЗ);Англ.яз.1 гр 42;Русск.яз. 32;Литература 19;Обществозн. 27;Алгебра 8;;Алгебра 46;Музыка 26;;;;;;;
вторник;9:00-9:40;Математика 45;Русск.яз. 14;"Англ.яз. 30,42";Русск.яз. 32;География 22;Русск.яз. 33;Родн.яз. 40;Русск.яз. 19;Русск.яз. 34;Геометрия 8;Вс.история 27;"Родн.яз. 25,29,36б";"Англ.яз/инф-ка (Г) 44,31";Алгебра 46;Биология 36;;Геометрия 47;Обществознание 41;;
вторник;9:55-10:35;"Англ.яз. 42,30";Математика 11;Литература 33;"Англ.яз.24,28";Русск.яз. 32;История 45;История 41;Алгебра 8;"Родн.яз. 23, 29";Русск.яз. 19;Русск.яз. 34;Музыка 26;Алгебра 46;История России 27;"Англ.яз/инф-ка(Г)44,31";География 22;Геометрия 47;Биология 36;;
вторник;10:55-11:35;ИЗО 8;История 34;Математика 3;Русск.яз. 32;Математика 45;Литература 33;Изо 26;"Родн.яз. 24,23";Алгебра 47;География 22;"Родн.яз.25,40";Физ-ра(БЗ);Вс. история 27;ПОЗМ 46;"Родн.яз.43,29";"Англ.яз/инф-ка(П) 44,30";Экономика/Право 41;Русск.яз.19;Англ.яз.31;Биология 36
вторник;11:55-12:35;Литература 34;Музыка 26;Изо 25;"Родн.яз. 43,40,29";"Родн.яз.24, 36а";Математика 45;Англ.яз. 23;История России 27;"Англ.яз.28,30";Литература 19;"Англ.яз/инф-ка(Б)44,42";Русск.яз. 33;Биология 36;Русск.яз. 32;География 22;Алгебра 46;Обж 8;Обществозн. 41;Алгебра 47;Англ.яз.31
вторник;12:50-13:30;ОДНКНР 36;"Родн.яз. 25,40,29";Музыка 26;История 27;;Англ.яз.2гр 30;Русск.яз. 32;География 22;;;"Англ.яз/инф-ка(С)44,28";Обж 8;Русск.яз. 33;Физ-ра (БЗ);Русск.яз. 34;ПОЗМ 46;"Родн.яз.24,42";"Родн.яз./англ.яз(Р)43,31";Обществознание 41;Алгебра 47
вторник;13:40-14:20;;Литература 19;"Родн.яз. 25,26";;;;;;;;Алгебра 47;Геометрия 46;"Англ.яз/инф-ка(С) 44,28";Литература 32;Литература 34;"Родн.яз.24,29";География 22;"Родн.яз./англ.яз(П)40,31";Литература 33;Обществозн.41
вторник;14:35-15:15;;Англ.яз.2 гр 30;;;;;;;;;;;;"Родн.яз.24,29";Алгебра 47;Вс. история 27;Русск.яз.34;;Родн.яз.31;Русск.яз.32
вторник;15:30-16:10;;;;;;;;;;;;;;;;;;;Русск.яз. 34;Обществозн. 41
вторник;16:15-16:55;;;;;;;;;;;;;;;;;;;;Алгебра 47
среда;8:15-8:55;Математика 45;"Родн.яз.25,40,29";Русск.яз. 33;Русск.яз. 32;История 46;Биология 36;Математика 44;ИЗО 23;Русск.яз. 34;Физика 19;Финанс.гр. 22;Англ.яз.1гр. 42;История России 27;География 47;;;;;;
среда;9:00-9:40;Русск.яз. 34;Математика 11;"Технология 18,22";Математика 45;Русск.яз. 32;"Англ.яз.30,42";Физ-ра;Физика19;"Англ.яз./инф-ка 28,44";География 8;Обществоз. 27;Русск.яз. 33;Биология 36;Алгебра 46;;;Англ.яз. 31;Русск.яз. 41;Алгебра 47;Физика 26
среда;9:55-10:35;Литература 34;Русск.яз.14;"Технология 18,22";Физ-ра ТЗ;Литература 32;Русск.яз. 33;Музыка 8;Русск.яз. 45;История России 27;"Англ.яз./инф-ка 28,44";Геометрия 47;"Родн.яз. 25,40,29";"Родн.яз. 40,43";Геометрия 46;"Англ.яз23,31";Физика 19;Физика 26;История41;Биология 36;География 42
среда;10:55-11:35;История 41;Физ-ра (МЗ);"Англ.яз. 30,42";"Англ.яз.26,28";Математика 45;"Родн яз.40,29";Русск.яз. 32;"Родн.яз. 24,23";Изо 8;"Родн.яз.43,25,36а,36б";Русск.яз. 34;Алгебра 46;Финанс.гр.22;История России 27;География 36;"Англ.яз./инф-ка 44,31";Алгебра 47;Литература 19;Литература 33;Физ-раБЗ
среда;11:55-12:35;Музыка 14;География 8;Математика 9;Литература 32;"Англ.яз.30,40";Математика 45;Математика 44;Обществоз. 27;Алгебра 47;"Технология 18,22";"Англ.яз. 42,28";Биология 36;Русск.яз. 33;Физика 19;Русск.яз.34;Геометрия 46;Физ-ра БЗ;История 41;Физика 26;Англ.яз.31
среда;12:50-13:30;"Родн.яз.24,43";Литература 40;"Родн.яз. 26,25";Обществозн.27;Изо 8;Литература 33;Родной яз.библ;Физ-ра БЗ;Родн.яз.1гр (Д) 23;"Технология 18,22";Геометрия 47;География 36;Геометрия 46;"Англ.яз.31,42";Литература 34;Физ-ра ТЗ;Обществозн.41;Физика 45;Астрономия 19;Русский яз. 32
среда;13:40-14:20;;Англ.яз.2 гр 30;Литература 33;;;;;;;;;Англ.яз.2гр 42;"Родн.яз.43,40,26";Литература 32;Алгебра 47;История России 27;Литература 34;Англ.яз.1гр 31;Родн.яз.23;Родн.яз. 25
среда;14:35-15:15;;;;;;;;;;;;;;;История России 27;"Родн.яз. 24,29";Русск.яз.34;;Проект 42;Право/Эконом 41
среда;15:30-16:10;;;;;;;;;;;;;;;;Русск.яз.34;Проект 42;;;
среда;16:15-16:55;;;;;;;;;;;;;;;;;;;;
четверг;8:15-8:55;География 36;Англ.яз.1гр 30;;Математика 45;Русск.яз. 32;"Родн.яз. 40,29";Математика 44;Профориентация 23;Русск.яз. 34;Русск.яз. 27;;Геометрия 46;Литература 33;;;;;;;
четверг;9:00-9:40;Математика 45;Русск.яз. 14;Русск.яз. 33;Русск.яз. 32;Музыка 8;"Технология 18,22";Англ.яз.23;Русск.яз. 27;"Англ.яз. 28,30";История России 41;Литература 34;"Англ.яз./инф-ка42,44";Физика 19;География 36;Геометрия 47;Алгебра 46;;Профориентация 31;;
четверг;9:55-10:35;Физ-ра БЗ;"Родн.яз. 25,29,36а,36б,40";Русск.яз. 33;Литература 32;"Родн.яз.24,43";"Технология 18,22";Математика 44;"Англ.яз. 30,23";Литература 34;Алгебра 8;Физика 19;Профориентация 42;"Англ.яз. 28,31";Химия 45;Геометрия 47;География 36;;Алгебра 46;Право/Эконом.41;
четверг;10:55-11:35;Биология 44;Математика 11;Математика 36;"Родн.яз.43,40, 29, 36а";Математика 45;Русск.яз. 33;Русск.яз.32;Алгебра 8;Музыка 26;"Англ.яз. 28,30";"Технология 18,22";Физика 19;Химия46;Родн.яз. 24/42;Русск.яз. 34;"Англ.яз. 31,23";Алгебра 47;Русск.яз. 27;История 41;Родн.яз.25
четверг;11:55-12:35;Русск.яз. 34;"Технология 18,22";Физ-ра;География 36;"Англ.яз.30,23";Математика 26;Литература 32;Геометрия 8;Геометрия 47;Русск.яз.27;"Родн.яз. 25,40";Литература 33;Алгебра 46;Физика 19;"Родн яз 43,29";Химия 45;"Родн.яз. 24,28";"Англ.яз/инф-ка 31,44";История 41;Физ-ра БЗ
четверг;12:50-13:30;Литература 34;"Технология 18,22";"Родн.яз. 29,25";;Русск.яз. 32;Профориентация 28;Родн.яз. 40;;Геометрия 47;Музыка 26;Химия 45;Англ.яз. 1гр.42;География 36;Геометрия 46;Физика 19;Обж 8;Обществозн.41;"Англ.яз./инф-ка 31,44";Литература 33;Литература 27
четверг;13:40-14:20;"Родн.яз. 24,26";Изо 36;Англ.яз.2гр.(П) 30;;Профориентация 27;Русск.яз. 33;Прфориентация 22;;Профориентация 23;Профориентация 25;Алгебра 47;;Геометрия 46;Русск.яз. 32;Химия 45;Литература 34;Инф-ка 44;"Родн.яз. 43,40";Обж 8;История 41
четверг;14:35-15:15;;Англ.яз. 2 гр.30;;;;;;;;;;;;;Профориентация 36;Профориентация 19;Литература 34;Экономика/Право 41;Родн.яз. 31;Алгебра 47
четверг;15:30-16:10;;;;;;;;;;;;;;;;;;Проект 42;Русск.яз. 34;История 41
четверг;16:15-16:55;;;;;;;;;;;;;;;;;;;Алгебра 47;
пятница;8:15-8:55;Русск.яз. 34;Физ-ра БЗ;Русск.яз. 33;Математика 45;Русск.яз. 32;Обществозн. 27;;"Англ.яз./инф-ка 30,44";"Родн.яз. 23, 29";Литература 41;География 36;Англ.яз. 2гр 42;Профориентация 40;;;;;Геометрия 46;;
пятница;9:00-9:40;Математика 45;Биология 44;Литература 33;"Родн.яз. 40,43,29";"Англ.яз. 30,23";Физ-ра;Русск.яз.32;ПОЗМ 8;Вс.история 27;Физ-ра МЗ;Биология 36;География 22;"Англ.яз. 28,31";;Литература 34;Физика 19;;Геометрия 46;;Геометрия 47
пятница;9:55-10:35;"Англ.яз.42,30";Русск.яз.14;История 25;"Англ.яз. 45,28";Литература 32;Русск.яз. 33;Биология 36;География 22;Физ-ра БЗ;ПОЗМ 8;Физ-ра ТЗ;История России 27;ПОЗМ 46;Профориентация 24;Физика 19;Русск.яз. 34;;Литература 41;Англ.яз. 31;Эл.курс по геометрии 47
пятница;10:55-11:35;Русск.яз.34;Математика 11;"Родн.яз. 29,25";Русск.яз. 32;"Родн.яз. 24,26";Математика 12;Физ-ра БЗ;"Технология 18,22";Физика 19;"Англ.яз. 28,30";Обж 8;Химия 45;Литература 33;"Англ.яз/инф-ка 42,44";История России 27;Геометрия 46;Англ.яз. 31;География 36;Геометрия 47;Литература 41
пятница;11:55-12:35;"Родн.яз. 24,30";Литература 41;Математика 8;История 27;Математика 45;"Родн.яз. 29, библ.";Англ.яз. 23;"Технология 18,22";География 26;"Родн.яз. 43,25,36б,40";"Англ.яз. 42,28";ПОЗМ 46;Русск.яз. 33;"Англ.яз/инф-ка 31, 44";Химия 19;Литература 34;Биология 36;Физ-ра;Эл.курс по геометрии 47;Русск.яз. 32
пятница;12:50-13:30;Моя Карелия 8;"Родн.яз. 25,29,30,36б,40";Англ.яз. (Б) 42;;Обществозн. 45;Литература 33;Литература 32;"Родн.яз. 24,23";Алгебра 47;;Профориентация 28;Биология 36;География 22;Обществозн. 27;"Англ.яз/инф-ка 26,44";Русск.яз. 34;Химия 41;Алгебра 46;Физ-ра БЗ;Астрономия 19
пятница;13:40-14:20;;;;;;;;"Англ.яз./инф-ка 23,44";;;Алгебра 47;"Технология 18,22";;Литература 32;;История России 27;Физ-ра;Англ.яз. 2 гр. 31;Русск.яз. 34;"Родн.яз.25, 26, 40"
пятница;14:35-15:15;;;;;;;;;;;;;;История России 27;;Родн.яз. 24/29;Русск.яз. 34;;Инф-ка 44;ПОЗМ 47
пятница;15:30-16:10;;;;;;;;;;;;;;;;;Литература 34;;ПОЗМ47;Проект 42
пятница;16:15-16:55;;;;;;;;;;;;;;;;;;;;
суббота;8:15-8:55;;;;Музыка 26;"Технология 18,22";"Родн.яз.40,29";;Биология 36;Русск.яз. 34;;История России 27;;;;Алгебра 47;;Обществозн. 41;Родн.яз.43 Р;;
суббота;9:00-9:40;;;;"Родн.яз. 40,43,26,29";"Технология 18,22";Русск.яз. 33;;Физ-ра МЗ;ПОЗМ 47;Биология 36;Русск.яз. 34;Физика 19;Химия 45;Физ-ра БЗ;Обществозн. 27;;Обществозн.41;Обж 8;;
суббота;9:55-10:35;;;;"Технология 18,22";Однкнр 32;Изо 26;Родн.яз. 40;Вс. история 27;Физ-ра МЗ;"Родн.яз. 43,25,29";Химия 45;Русск.яз. 33;Обж 8;Физика 19;ПОЗМ 47;Биология 36;Русск.яз. 34;Обществозн. 41;;
суббота;10:55-11:35;;;;"Технология 18,22";Биология 36;Музыка 26;Однкнр 32;Физика 19;Литература 34;Физ-ра МЗ;"Родн.яз. 25,40";Литература 33;Физ-ра БЗ;Химия 45;"Родн.яз. 43,29,30";История России 27;ПОЗМ 47;Обществозн. 41;;
суббота;11:55-12:35;;;;Биология 36;Физ-ра БЗ;Однкнр 32;"Технология 18,22";Музыка 26;Физика 19;Обществознание 41;Литература 34;"Родн.яз. 25,40,29";"Родн.яз. 40,43";Обж 8;Физ-ра МЗ;Обществозн. 27;Вероятность и статистика 47;Химия 45;;
суббота;12:50-13:30;;;;Профориентация 26;;;"Технология 18,22";;Родн.яз. (Ф) 29;Изо 25;ПОЗМ 47;Химия 45;;Биология 36;;Литература 34;Профориентация 41;Родн.яз. 40 П;;
суббота;13:40-14:20;;;;;;;;;;;;;;;;;;;;
суббота;14:35-15:15;;;;;;;;;;;;;;;;;;;;
суббота;15:30-16:10;;;;;;;;;;;;;;;;;;;;
суббота;16:15-16:55;;;;;;;;;;;;;;;;;;;;
